year,broker_name,broker_rank,market_type,buy_value,sell_value,total_value,buy_volume,sell_volume,total_volume,market_share_value,market_share_volume
2024,SNB Capital,1,main,349324659654,349324659654,698649319308,18992569872,18992569872,37985139743,18.76,18.15
2024,Al Rajhi Capital,2,main,302296675259,302296675259,604593350517,21950176787,21950176787,43900353574,16.23,20.97
2024,Derayah Financial,3,main,146750067271,146750067271,293500134542,8353032096,8353032096,16706064191,7.88,7.98
2024,Merrill Lynch KSA,4,main,136151281921,136151281921,272302563841,5032779730,5032779730,10065559459,7.31,4.81
2024,Morgan Stanley Saudi Arabia,5,main,123666865560,123666865560,247333731119,3839560918,3839560918,7679121836,6.64,3.67
2024,Riyad Capital,6,main,98434132054,98434132054,196868264107,6230141448,6230141448,12460282896,5.29,5.95
2024,AlJazira Capital,7,main,88725122718,88725122718,177450245436,8284979668,8284979668,16569959336,4.76,7.92
2024,JP Morgan Saudi Arabia,8,main,87052201769,87052201769,174104403537,3026444076,3026444076,6052888152,4.67,2.89
2024,Goldman Sachs Saudi Arabia,9,main,81989693655,81989693655,163979387309,2522697957,2522697957,5045395914,4.40,2.41
2024,HSBC Saudi Arabia,10,main,56187495522,56187495522,112374991044,1888807854,1888807854,3777615708,3.02,1.80
2024,Saudi Fransi Capital,11,main,55015474323,55015474323,110030948646,3767151144,3767151144,7534302288,2.95,3.60
2024,EFG_Hermes KSA,12,main,52521842102,52521842102,105043684204,1447917085,1447917085,2895834170,2.82,1.38
2024,ANB Capital,13,main,47595148445,47595148445,95190296890,3340365972,3340365972,6680731943,2.56,3.19
2024,Alinma Capital,14,main,47521294087,47521294087,95042588174,2924423637,2924423637,5848847273,2.55,2.79
2024,SAB Invest,15,main,46411980757,46411980757,92823961514,2157122680,2157122680,4314245360,2.49,2.06
2024,Alistithmar Capital,16,main,42982570425,42982570425,85965140849,2003844913,2003844913,4007689825,2.31,1.91
2024,AlBilad Investment,17,main,26450839413,26450839413,52901678826,1891166359,1891166359,3782332717,1.42,1.81
2024,Sahm Capital,18,main,13286969200,13286969200,26573938400,1266272467,1266272467,2532544934,0.71,1.21
2024,Yaqeen Capital,19,main,9661140754,9661140754,19322281507,1216234452,1216234452,2432468903,0.52,1.16
2024,CitiGroup Saudi Arabia,20,main,8631557301,8631557301,17263114602,231806146,231806146,463612291,0.46,0.22
2024,Al-Khair Capital Saudi Arabia,21,main,5866637471,5866637471,11733274942,1122539406,1122539406,2245078811,0.32,1.07
2024,Credit Suisse Saudi Arabia,22,main,5739947000,5739947000,11479893999,213028570,213028570,426057140,0.31,0.20
2024,GIB Capital,23,main,5173176004,5173176004,10346352007,141521052,141521052,283042104,0.28,0.14
2024,AlKhabeer Capital,24,main,4524011222,4524011222,9048022443,1238630474,1238630474,2477260947,0.24,1.18
2024,Emirates NBD Capital,25,main,4509675360,4509675360,9019350720,122002766,122002766,244005531,0.24,0.12
2024,Al Nefaie Investment Group,26,main,3572130838,3572130838,7144261675,368220220,368220220,736440440,0.19,0.35
2024,Jadwa Investment,27,main,3481388407,3481388407,6962776814,86676735,86676735,173353470,0.19,0.08
2024,Musharaka Capital,28,main,3325714917,3325714917,6651429834,270979138,270979138,541958276,0.18,0.26
2024,SICO Capital,29,main,2924313750,2924313750,5848627500,83336775,83336775,166673550,0.16,0.08
2024,Arbah Capital,30,main,2303471240,2303471240,4606942480,622087799,622087799,1244175597,0.12,0.59
2024,Osool & Bakheet Investment,31,main,159714041,159714041,319428082,19321635,19321635,38643269,0.01,0.02
2024,Deutsche Securities Saudi Arabia,32,main,78483029,78483029,156966058,4294415,4294415,8588829,0.00,0.00
2024,Awaed Alosool Capital,33,main,16858147,16858147,33716293,2392873,2392873,4785745,0.00,0.00
2025,Al Rajhi Capital,1,main,200937219520,200937219520,401874439040,13003708024,13003708024,26007416047,15.47,19.20
2025,SNB Capital,2,main,198012994758,198012994758,396025989515,10795907467,10795907467,21591814934,15.24,15.94
2025,Morgan Stanley Saudi Arabia,3,main,134278779499,134278779499,268557558997,5361108995,5361108995,10722217990,10.34,7.91
2025,Merrill Lynch KSA,4,main,108633562211,108633562211,217267124422,4972317526,4972317526,9944635052,8.36,7.34
2025,Derayah Financial,5,main,73687692355,73687692355,147375384710,4061093971,4061093971,8122187942,5.67,6.00
2025,JP Morgan Saudi Arabia,6,main,73429852847,73429852847,146859705693,2662892542,2662892542,5325785084,5.65,3.93
2025,Goldman Sachs Saudi Arabia,7,main,63463256520,63463256520,126926513039,2330815549,2330815549,4661631098,4.88,3.44
2025,Riyad Capital,8,main,55386944410,55386944410,110773888820,3086121100,3086121100,6172242200,4.26,4.56
2025,AlJazira Capital,9,main,50052941549,50052941549,100105883097,3502069365,3502069365,7004138730,3.85,5.17
2025,HSBC Saudi Arabia,10,main,42803073341,42803073341,85606146681,1783740186,1783740186,3567480372,3.29,2.63
2025,EFG_Hermes KSA,11,main,39945660706,39945660706,79891321411,1217621207,1217621207,2435242413,3.07,1.80
2025,Saudi Fransi Capital,12,main,37025483058,37025483058,74050966115,1783925603,1783925603,3567851205,2.85,2.63
2025,ANB Capital,13,main,34224549910,34224549910,68449099819,1973990460,1973990460,3947980920,2.63,2.91
2025,SAB Invest,14,main,33516495117,33516495117,67032990233,1709056355,1709056355,3418112709,2.58,2.52
2025,Alinma Capital,15,main,30725807397,30725807397,61451614794,1682791698,1682791698,3365583396,2.36,2.48
2025,Alistithmar Capital,16,main,24000194484,24000194484,48000388967,1096271217,1096271217,2192542433,1.85,1.62
2025,Sahm Capital,17,main,23947414825,23947414825,47894829650,1765794250,1765794250,3531588500,1.84,2.61
2025,AlBilad Investment,18,main,16131655894,16131655894,32263311788,1111511313,1111511313,2223022626,1.24,1.64
2025,Credit Suisse Saudi Arabia,19,main,12177770761,12177770761,24355541522,397464218,397464218,794928435,0.94,0.59
2025,CitiGroup Saudi Arabia,20,main,9833066533,9833066533,19666133066,339061786,339061786,678123571,0.76,0.50
2025,Yaqeen Capital,21,main,5846548591,5846548591,11693097182,391302940,391302940,782605879,0.45,0.58
2025,Musharaka Capital,22,main,5034009017,5034009017,10068018034,476601947,476601947,953203894,0.39,0.70
2025,Emirates NBD Capital,23,main,4549946658,4549946658,9099893316,171031257,171031257,342062514,0.35,0.25
2025,AlKhabeer Capital,24,main,4217402552,4217402552,8434805104,854730422,854730422,1709460844,0.32,1.26
2025,GIB Capital,25,main,3668564506,3668564506,7337129012,114313104,114313104,228626208,0.28,0.17
2025,Jadwa Investment,26,main,3046840660,3046840660,6093681319,117766745,117766745,235533489,0.23,0.17
2025,SICO Capital,27,main,2962257396,2962257396,5924514792,94231086,94231086,188462171,0.23,0.14
2025,Al-Khair Capital Saudi Arabia,28,main,2906911062,2906911062,5813822123,488991021,488991021,977982042,0.22,0.72
2025,Al Nefaie Investment Group,29,main,1527695023,1527695023,3055390045,137319308,137319308,274638616,0.12,0.20
2025,Arbah Capital,30,main,1469990773,1469990773,2939981546,122407844,122407844,244815688,0.11,0.18
2025,Awaed Alosool Capital,31,main,1461994380,1461994380,2923988760,120697507,120697507,241395014,0.11,0.18
2025,Osool & Bakheet Investment,32,main,285083013,285083013,570166026,8251518,8251518,16503036,0.02,0.01
2025,Deutsche Securities Saudi Arabia,33,main,41446734,41446734,82893468,1278682,1278682,2557363,0.00,0.00
2025,Dinar Investment Company,34,main,1398,1398,2795,28,28,55,0.00,0.00
