year,broker_name,broker_rank,market_type,buy_value,sell_value,total_value,buy_volume,sell_volume,total_volume,market_share_value,market_share_volume
2023,Al Rajhi Capital,1,main,90000000000,88000000000,178000000000,4500000000,4400000000,8900000000,14.2,13.8
2023,SNB Capital,2,main,82000000000,80000000000,162000000000,4100000000,4000000000,8100000000,12.9,12.5
2023,Riyad Capital,3,main,75000000000,73000000000,148000000000,3750000000,3650000000,7400000000,11.8,11.5
2023,HSBC Saudi Arabia,4,main,68000000000,66000000000,134000000000,3400000000,3300000000,6700000000,10.7,10.4
2023,Morgan Stanley Saudi Arabia,5,main,62000000000,60000000000,122000000000,3100000000,3000000000,6100000000,9.7,9.5
2023,Goldman Sachs Saudi Arabia,6,main,55000000000,53000000000,108000000000,2750000000,2650000000,5400000000,8.6,8.4
2023,JP Morgan Saudi Arabia,7,main,50000000000,48000000000,98000000000,2500000000,2400000000,4900000000,7.8,7.6
2023,Citi Saudi Arabia,8,main,45000000000,43000000000,88000000000,2250000000,2150000000,4400000000,7.0,6.8
2023,Deutsche Securities Saudi Arabia,9,main,40000000000,38000000000,78000000000,2000000000,1900000000,3900000000,6.2,6.0
2023,UBS Saudi Arabia,10,main,36000000000,34000000000,70000000000,1800000000,1700000000,3500000000,5.6,5.4
2024,Al Rajhi Capital,1,main,102000000000,100000000000,202000000000,5100000000,5000000000,10100000000,14.8,14.5
2024,Riyad Capital,2,main,95000000000,93000000000,188000000000,4750000000,4650000000,9400000000,13.8,13.5
2024,SNB Capital,3,main,88000000000,86000000000,174000000000,4400000000,4300000000,8700000000,12.8,12.5
2024,Morgan Stanley Saudi Arabia,4,main,78000000000,76000000000,154000000000,3900000000,3800000000,7700000000,11.3,11.0
2024,HSBC Saudi Arabia,5,main,72000000000,70000000000,142000000000,3600000000,3500000000,7100000000,10.4,10.2
2024,JP Morgan Saudi Arabia,6,main,65000000000,63000000000,128000000000,3250000000,3150000000,6400000000,9.4,9.2
2024,Goldman Sachs Saudi Arabia,7,main,58000000000,56000000000,114000000000,2900000000,2800000000,5700000000,8.4,8.2
2024,Citi Saudi Arabia,8,main,52000000000,50000000000,102000000000,2600000000,2500000000,5100000000,7.5,7.3
2024,Albilad Capital,9,main,46000000000,44000000000,90000000000,2300000000,2200000000,4500000000,6.6,6.5
2024,UBS Saudi Arabia,10,main,42000000000,40000000000,82000000000,2100000000,2000000000,4100000000,6.0,5.9
2023,Aljazira Capital,1,nomu,5000000000,4800000000,9800000000,250000000,240000000,490000000,22.5,22.0
2023,Alinma Investment,2,nomu,4200000000,4000000000,8200000000,210000000,200000000,410000000,18.8,18.4
2023,Derayah Financial,3,nomu,3500000000,3300000000,6800000000,175000000,165000000,340000000,15.6,15.3
2024,Aljazira Capital,1,nomu,5800000000,5600000000,11400000000,290000000,280000000,570000000,23.2,22.8
2024,Derayah Financial,2,nomu,5000000000,4800000000,9800000000,250000000,240000000,490000000,20.0,19.6
2024,Alinma Investment,3,nomu,4500000000,4300000000,8800000000,225000000,215000000,440000000,17.9,17.6
